Total Items: 20
ID: 5 | Title: Neural Network Architecture | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1677442136019-21780efad99a?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 6 | Title: Machine Learning Analytics | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1551288049-bebda4e38f71?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 7 | Title: Deep Learning Matrix | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 8 | Title: Cyber Security Firewall Operations | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1550751827-4bd374c3f58b?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 9 | Title: Cloud Datacenter Clusters | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1558494949-ef010cbdcc31?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 10 | Title: DevOps Automated Pipeline | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1618401471353-b98aedd07871?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 11 | Title: Virtual Reality Hologram | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1593508512255-86ab42a8e620?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 12 | Title: Quantum Computing Processor | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1635070041078-e363dbe005cb?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 13 | Title: Robotic Automation System | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 14 | Title: Decentralized Blockchain Network | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1621761191319-c6fb62004040?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 15 | Title: IoT Smart Cities Core | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1518770660439-4636190af475?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 16 | Title: Full Stack Web Coding | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1542831371-29b0f74f9713?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 17 | Title: Mobile Application Interface | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1512941937669-90a1b58e7e9c?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 18 | Title: Data Science & Analytics | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1460925895917-afdab827c52f?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 19 | Title: Computer Vision Face Recognition | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1507146426996-ef05306b995a?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 20 | Title: Augmented Reality HUD | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1592478411213-6153e4ebc07d?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 21 | Title: Database Cluster Nodes | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1544383835-bda2bc66a55d?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 22 | Title: Serverless Cloud Functions | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1504639725590-34d0984388bd?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 23 | Title: Agile Project Kanban Board | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1531403009284-440f080d1e12?auto=format&fit=crop&w=1200&q=80' | IsActive: True
ID: 24 | Title: Humanoid Cybernetic Android | MediaType: image | MediaPath: 'https://images.unsplash.com/photo-1531747118685-ca8fa6e08806?auto=format&fit=crop&w=1200&q=80' | IsActive: True
